['CONST', 'const', '-1']
['IDENTIFIER', 'id', 'a']
['EQUAL', '=', '-1']
['NUMBER', 'num', '10']
['SEMICOLON', ';', '-1']
['VAR', 'var', '-1']
['IDENTIFIER', 'id', 'd']
['COMMA', ',', '-1']
['IDENTIFIER', 'id', 'e']
['COMMA', ',', '-1']
['IDENTIFIER', 'id', 'f']
['SEMICOLON', ';', '-1']
['PROCEDURE', 'procedure', '-1']
['IDENTIFIER', 'id', 'p']
['SEMICOLON', ';', '-1']
['VAR', 'var', '-1']
['IDENTIFIER', 'id', 'g']
['SEMICOLON', ';', '-1']
['BEGIN', 'begin', '-1']
['IDENTIFIER', 'id', 'd']
['ASSIGN', ':=', '-1']
['IDENTIFIER', 'id', 'a']
['TIMES', '*', '-1']
['NUMBER', 'num', '2']
['SEMICOLON', ';', '-1']
['IDENTIFIER', 'id', 'e']
['ASSIGN', ':=', '-1']
['IDENTIFIER', 'id', 'a']
['DIVIDE', '/', '-1']
['NUMBER', 'num', '3']
['SEMICOLON', ';', '-1']
['IF', 'if', '-1']
['IDENTIFIER', 'id', 'd']
['LESS_OR_EQUAL', '<=', '-1']
['IDENTIFIER', 'id', 'e']
['THEN', 'then', '-1']
['IDENTIFIER', 'id', 'f']
['ASSIGN', ':=', '-1']
['IDENTIFIER', 'id', 'd']
['PLUS', '+', '-1']
['IDENTIFIER', 'id', 'e']
['SEMICOLON', ';', '-1']
['END', 'end', '-1']
['SEMICOLON', ';', '-1']
['BEGIN', 'begin', '-1']
['READ', 'read', '-1']
['LEFT_PARENTHESES', '(', '-1']
['IDENTIFIER', 'id', 'e']
['COMMA', ',', '-1']
['IDENTIFIER', 'id', 'f']
['RIGHT_PARENTHESES', ')', '-1']
['SEMICOLON', ';', '-1']
['CALL', 'call', '-1']
['IDENTIFIER', 'id', 'p']
['SEMICOLON', ';', '-1']
['WHILE', 'while', '-1']
['ODD', 'odd', '-1']
['IDENTIFIER', 'id', 'd']
['DO', 'do', '-1']
['IDENTIFIER', 'id', 'e']
['ASSIGN', ':=', '-1']
['MINUS', '-', '-1']
['IDENTIFIER', 'id', 'e']
['PLUS', '+', '-1']
['NUMBER', 'num', '1']
['SEMICOLON', ';', '-1']
['WRITE', 'write', '-1']
['LEFT_PARENTHESES', '(', '-1']
['IDENTIFIER', 'id', 'e']
['COMMA', ',', '-1']
['IDENTIFIER', 'id', 'f']
['COMMA', ',', '-1']
['IDENTIFIER', 'id', 'd']
['RIGHT_PARENTHESES', ')', '-1']
['SEMICOLON', ';', '-1']
['END', 'end', '-1']
['DOT', '.', '-1']
